t_ms,red,ir,stm_glucose,stm_status,stm_sqi
8620,79624,110538,,,
8630,79596,110514,,,
8640,79545,110417,,,
8650,79485,110359,,,
8660,79424,110282,,,
8670,79340,110177,,,
8680,79267,110068,,,
8690,79160,109964,,,
8700,79067,109847,,,
8710,78997,109741,,,
8720,78906,109642,,,
8730,78822,109535,,,
8740,78726,109436,,,
8750,78688,109348,,,
8760,78636,109262,,,
8770,78556,109219,,,
8780,78538,109162,,,
8790,78511,109129,,,
8800,78435,109106,,,
8810,78475,109085,,,
8820,78452,109067,,,
8830,78469,109071,,,
8840,78502,109116,,,
8850,78536,109164,,,
8860,78536,109214,,,
8870,78620,109244,,,
8880,78654,109343,,,
8890,78720,109396,,,
8900,78771,109496,,,
8910,78855,109543,,,
8920,78942,109652,,,
8930,79001,109747,,,
8940,79072,109837,,,
8950,79168,109929,,,
8960,79239,110045,,,
8970,79279,110108,,,
8980,79375,110210,,,
8990,79434,110263,,,
9000,79239,110030,,,
9010,79215,110021,,,
9020,79187,110015,,,
9030,79187,109982,,,
9040,79154,109946,,,
9050,79146,109922,,,
9060,79146,109885,,,
9070,79129,109922,,,
9080,79118,109918,,,
9090,79128,109911,,,
9100,79135,109892,,,
9110,79145,109902,,,
9120,79144,109909,,,
9130,79131,109916,,,
9140,79134,109929,,,
9150,79159,109915,,,
9160,79134,109917,,,
9170,79152,109919,,,
9180,79139,109905,,,
9190,79138,109936,,,
9200,79123,109898,,,
9210,79083,109881,,,
9220,79054,109853,,,
9230,79032,109828,,,
9240,79008,109779,,,
9250,78993,109765,,,
9260,78963,109705,,,
9270,78939,109654,,,
9280,78915,109652,,,
9290,78895,109608,,,
9300,78838,109561,,,
9310,78863,109548,,,
9320,78819,109539,,,
9330,78833,109534,,,
9340,78829,109536,,,
9350,78847,109575,,,
9360,78898,109605,,,
9370,78960,109697,,,
9380,79041,109792,,,
9390,79120,109924,,,
9400,79243,110044,,,
9410,79381,110204,,,
9420,79502,110394,,,
9430,79653,110560,,,
9440,79780,110753,,,
9450,79912,110884,,,
9460,80036,111056,,,
9470,80156,111183,,,
9480,80207,111263,,,
9490,80280,111326,,,
9500,80290,111379,,,
9510,80272,111373,,,
9520,80237,111315,,,
9530,80219,111244,,,
9540,80135,111166,,,
9550,80076,111095,,,
9560,80010,111013,,,
9570,79953,110893,,,
9580,79857,110825,,,
9590,79789,110734,,,
9600,79737,110690,,,
9610,79718,110620,,,
9620,79651,110572,,,
9630,79602,110511,,,
9640,79542,110442,,,
9650,79491,110345,,,
9660,79437,110275,,,
9670,79363,110179,,,
9680,79270,110065,,,
9690,79158,109956,,,
9700,79077,109855,,,
9710,78984,109730,,,
9720,78909,109605,,,
9730,78809,109536,,,
9740,78757,109441,,,
9750,78669,109354,,,
9760,78624,109297,,,
9770,78571,109213,,,
9780,78514,109117,,,
9790,78491,109105,,,
9800,78479,109078,,,
9810,78441,109086,,,
9820,78486,109084,,,
9830,78463,109079,,,
9840,78500,109116,,,
9850,78532,109132,,,
9860,78534,109187,,,
9870,78622,109247,,,
9880,78660,109314,,,
9890,78709,109384,,,
9900,78776,109486,,,
9910,78855,109562,,,
9920,78908,109669,,,
9930,79004,109752,,,
9940,79088,109828,,,
9950,79140,109962,,,
9960,79243,110041,,,
9970,79293,110119,,,
9980,79357,110199,,,
9990,79420,110265,,,
10000,79252,110066,,,
10010,79234,110011,,,
10020,79203,109996,,,
10030,79183,109987,,,
10040,79147,109951,,,
10050,79140,109931,,,
10060,79129,109920,,,
10070,79121,109916,,,
10080,79126,109895,,,
10090,79119,109904,,,
10100,79121,109919,,,
10110,79117,109894,,,
10120,79134,109923,,,
10130,79162,109920,,,
10140,79131,109931,,,
10150,79152,109934,,,
10160,79142,109956,,,
10170,79163,109915,,,
10180,79123,109955,,,
10190,79141,109911,,,
10200,79087,109925,,,
10210,79095,109878,,,
10220,79069,109807,,,
10230,79053,109815,,,
10240,79014,109781,,,
10250,79007,109740,,,
10260,78975,109699,,,
10270,78932,109689,,,
10280,78926,109637,,,
10290,78889,109594,,,
10300,78868,109581,,,
10310,78845,109564,,,
10320,78836,109547,,,
10330,78831,109529,,,
10340,78832,109536,,,
10350,78860,109578,,,
10360,78903,109600,,,
10370,78960,109703,,,
10380,79040,109785,,,
10390,79147,109901,,,
10400,79247,110053,,,
10410,79365,110216,,,
10420,79510,110378,,,
10430,79660,110576,,,
10440,79764,110738,,,
10450,79947,110923,,,
10460,80034,111057,,,
10470,80167,111173,,,
10480,80224,111270,,,
10490,80267,111347,,,
10500,80255,111355,,,
10510,80263,111331,,,
10520,80252,111321,,,
10530,80223,111260,,,
10540,80152,111177,,,
10550,80076,111098,,,
10560,80001,111013,,,
10570,79910,110908,,,
10580,79868,110827,,,
10590,79789,110725,,,
10600,79745,110676,,,
10610,79692,110639,,,
10620,79658,110581,,,
10630,79600,110521,,,
10640,79542,110435,,,
10650,79499,110362,,,
10660,79416,110267,,,
10670,79347,110195,,,
10680,79270,110084,,,
10690,79179,109965,,,
10700,79114,109859,,,
10710,79005,109735,,,
10720,78909,109627,,,
10730,78818,109519,,,
10740,78759,109417,,,
10750,78679,109344,,,
10760,78616,109296,,,
10770,78549,109208,,,
10780,78535,109146,,,
10790,78481,109116,,,
10800,78480,109102,,,
10810,78460,109082,,,
10820,78453,109092,,,
10830,78465,109108,,,
10840,78507,109119,,,
10850,78518,109144,,,
10860,78567,109191,,,
10870,78608,109240,,,
10880,78658,109301,,,
10890,78715,109400,,,
10900,78763,109480,,,
10910,78830,109563,,,
10920,78924,109663,,,
10930,78987,109718,,,
10940,79062,109853,,,
10950,79170,109957,,,
10960,79214,110049,,,
10970,79309,110135,,,
10980,79358,110208,,,
10990,79424,110284,,,
11000,79236,110052,,,
11010,79197,110018,,,
11020,79197,109989,,,
11030,79185,109986,,,
11040,79183,109957,,,
11050,79156,109939,,,
11060,79126,109934,,,
11070,79128,109927,,,
11080,79132,109915,,,
11090,79127,109903,,,
11100,79106,109914,,,
11110,79116,109918,,,
11120,79129,109892,,,
11130,79146,109919,,,
11140,79123,109945,,,
11150,79161,109938,,,
11160,79153,109931,,,
11170,79146,109947,,,
11180,79146,109933,,,
11190,79128,109898,,,
11200,79117,109879,,,
11210,79095,109885,,,
11220,79079,109846,,,
11230,79047,109814,,,
11240,79008,109781,,,
11250,79004,109739,,,
11260,78946,109723,,,
11270,78934,109680,,,
11280,78914,109629,,,
11290,78865,109610,,,
11300,78871,109587,,,
11310,78843,109550,,,
11320,78822,109523,,,
11330,78844,109542,,,
11340,78824,109546,,,
11350,78851,109570,,,
11360,78907,109605,,,
11370,78950,109714,,,
11380,79051,109800,,,
11390,79133,109900,,,
11400,79221,110024,,,
11410,79368,110213,,,
11420,79490,110364,,,
11430,79627,110601,,,
11440,79767,110733,,,
11450,79916,110904,,,
11460,80042,111033,,,
11470,80133,111178,,,
11480,80225,111286,,,
11490,80282,111325,,,
11500,80282,111378,,,
11510,80285,111346,,,
11520,80259,111327,,,
11530,80206,111266,,,
11540,80147,111189,,,
11550,80079,111090,,,
11560,80012,111001,,,
11570,79925,110920,,,
11580,79869,110819,,,
11590,79793,110742,,,
